code,description,id,image_url,level,level_id,name,rank,scraped_at
cooking-induction,"Enjoy energy efficient, fast and precise heating",69,uploads/features-and-benefits/Cooking-Induction.png,type,36,Induction,1,2025-07-01T17:35:48.208350
cooking-gas-on-glass,Gas cooking with easier to clean galss surface,70,uploads/features-and-benefits/Cooking-Gas-on-Glass.png,type,36,Gas on Glass,2,2025-07-01T17:35:48.208363
cooking-hybrid-cooking,"Get the best of both worlds, with Induction cooking and a gas wok burner",71,uploads/features-and-benefits/Cooking-Hybrid-Cooking.png,type,36,Hybrid,3,2025-07-01T17:35:48.208366
cooking-pyrolytic,This cleaning process burns of fats and oils and converts it to a powder that can be wiped off easily.,65,uploads/features-and-benefits/Cooking-Pyrolytic.png,type,38,Pyrolitic Cleaning,1,2025-07-01T17:35:49.852770
cooking-steam-cleaning,Steam cleaning softens oils & fats and makes it easier to clean,66,uploads/features-and-benefits/Cooking-Steam-Cleaning.png,type,38,Steam Cleaning,2,2025-07-01T17:35:49.852796
cooking-telescopic,Trays glide our smoothly and remain level to improve safety,67,uploads/features-and-benefits/Cooking-Telescopic.png,type,38,Telescopic Runners,3,2025-07-01T17:35:49.852800
cooking-steam-cooking,Adding steam helps maintain mouisture in foods and improves the overall result for many types of food.,68,uploads/features-and-benefits/Cooking-Steam-Cooking.png,type,38,Steam Cooking,4,2025-07-01T17:35:49.852838
cooking-canopy-range,The perfect statement piece in any kitchen,72,uploads/features-and-benefits/Cooking-Canopy-Range.png,type,39,Canopy,1,2025-07-01T17:35:50.689923
cooking-under-range,Conceals you rangehood with a clean look for you overhead cupboards,73,uploads/features-and-benefits/Cooking-Under-Range.png,type,39,Undermount,2,2025-07-01T17:35:50.689957
cooking-slideout,Automaticaly turns on will you slide the hood forward,74,uploads/features-and-benefits/Cooking-Slideout.png,type,39,Slideout,3,2025-07-01T17:35:50.689960
cooking-hob-to-hood,"Your cooktop will seamlessly communicate with your rangehood,  automatically turning it on when you cook ",75,uploads/features-and-benefits/Cooking-Hob-to-Hood.png,type,39,Hob to Hood,4,2025-07-01T17:35:50.689961
hc-self-cleaning,Performs a cleaning cycle on the evaporator fins for cleaner and more efficient airflow,45,uploads/features-and-benefits/HC-Self-Cleaning.png,type,51,Self Cleaning,1,2025-07-01T17:36:00.474225
hc-air-purifier,"Neutralises airborne pollutants, allergens, moulds, pollens & odours.",46,uploads/features-and-benefits/HC-Air-Purifier.png,type,51,Built-in Air Purification,2,2025-07-01T17:36:00.474237
hc-size2-3kw,This unit is best suited for small bedrooms or a study,47,uploads/features-and-benefits/HC-Size2-3kW.png,type,51,Small Spaces,3,2025-07-01T17:36:00.474239
hc-size4-5kw,This unit is best suited for family entertainment and dining rooms.,48,uploads/features-and-benefits/HC-Size4-5kW.png,type,51,Small Open Spaces,4,2025-07-01T17:36:00.474240
hcsize6-7kw,"This unit is best suited for large bedrooms, mid sized living or dining areas or even an office.",49,uploads/features-and-benefits/HCSize6-7kW.png,type,51,Medium Sized Spaces,5,2025-07-01T17:36:00.474241
hcsize8kw,"This unis is best suited for rooms with high ceilings, or large open plan areas.",50,uploads/features-and-benefits/HCSize8kW.png,type,51,Large Open Spaces,6,2025-07-01T17:36:00.474242
laundry-heatpump,Lower energy comsumption. good for the enviroment and your pocket.,64,uploads/features-and-benefits/Laundry-HeatPump.png,type,57,Heat Pump,1,2025-07-01T17:36:05.459160
laundry-autodose,"Uses the correct amount of detergent to prevent overdoseing, good for the enviroment and your pocket.",63,uploads/features-and-benefits/Laundry-Autodose.png,type,60,Automatic Dosage,1,2025-07-01T17:36:07.890593
coffee-auto-tamp,Automatically tamps your coffee grinds,51,uploads/features-and-benefits/Coffee-Auto-Tamp.png,type,75,Auto Tamp,1,2025-07-01T17:36:20.192766
coffee-assisted-tamp,Lever-assisted tamp to ensure an even & leveled tamp.,52,uploads/features-and-benefits/Coffee-Assisted-Tamp.png,type,75,Assisted Tamp,2,2025-07-01T17:36:20.192792
coffee-automatic,"This machine is fully automatic, perfect for quick home use.",53,uploads/features-and-benefits/Coffee-Automatic.png,type,75,Fully Automatic Machine,3,2025-07-01T17:36:20.192795
coffee-manual,For the coffee lovers who want to be hands on with their coffee making process.,54,uploads/features-and-benefits/Coffee-Manual.png,type,75,Manual Coffee Machine,4,2025-07-01T17:36:20.192799
coffee-auto-milk,Creates perfect silky smooth milk & microfoam,55,uploads/features-and-benefits/Coffee-Auto-Milk.png,type,75,Automatic Milk Texturing,5,2025-07-01T17:36:20.192802
coffee-grinder-built-in,Easily grind fresh beans before you start brewing.,56,uploads/features-and-benefits/Coffee-Grinder-Built-In.png,type,75,Integrated Grinder,6,2025-07-01T17:36:20.192805
coffee-fast-heat-up,This machine will be ready to go in under 60 seconds.,57,uploads/features-and-benefits/Coffee-Fast-Heat-Up.png,type,75,Fast Heat Up,7,2025-07-01T17:36:20.192808
coffee-dual-heating,Allows for simultaneous coffee extraction and milk texturing,58,uploads/features-and-benefits/Coffee-Dual-Heating.png,type,75,Dual Heating System,8,2025-07-01T17:36:20.192811
coffee-group-head-58,Commercial/cafe sized group head.,59,uploads/features-and-benefits/Coffee-Group-Head-58.png,type,75,58mm Group Head,9,2025-07-01T17:36:20.192814
coffee-touchscreen,Intuitive menus & presets at the tip of your fingers,60,uploads/features-and-benefits/Coffee-Touchscreen.png,type,75,Touchscreen Interface,10,2025-07-01T17:36:20.192817
coffee-cleaning,Automatically performs cleaning cycles of the internal brewing system,61,uploads/features-and-benefits/Coffee-Cleaning.png,type,75,Auto Cleaning,11,2025-07-01T17:36:20.192820
coffee-cold-brew,"Create traditional cold brew coffee in minutes, not hours.",62,uploads/features-and-benefits/Coffee-Cold-Brew.png,type,75,Cold Brew,12,2025-07-01T17:36:20.192823
media-storage,With a built in hard drive for hours of storage,37,uploads/features-and-benefits/Media-Storage.png,type,83,Built in Storage,1,2025-07-01T17:36:26.804262
